time,x1,x2
0.0,-0.5,-0.6
0.1,-0.32270425549659215,NaN
0.2,-0.0307867149488532,NaN
0.3,0.44204049855668365,NaN
0.4,0.8482891265867052,NaN
0.5,0.9426690235092673,NaN
0.6,0.8194932098110663,NaN
0.7,0.5787374710068032,NaN
0.8,0.3032062612779509,NaN
0.9,-0.4351005497367268,NaN
1.0,-1.185960416711104,NaN
1.1,-1.2231283592505804,NaN
1.2,-1.2186879044446999,NaN
1.3,-1.2343016815718004,NaN
1.4,-1.1841074113977998,NaN
1.5,-1.1657998610773774,NaN
1.6,-1.1586592705013745,NaN
1.7,-1.0908770945277333,NaN
1.8,-1.0038363797088086,NaN
1.9,-0.9548161783762545,NaN
2.0,-0.8740188595532711,NaN
