time,x1,x2
0.0,-0.5,2.25
0.1,-0.18915621128281113,NaN
0.2,0.34929314646439574,NaN
0.3,1.0270365928358447,NaN
0.4,1.0510738986163541,NaN
0.5,0.9038976239552987,NaN
0.6,0.7596381588869467,NaN
0.7,0.6648321494822689,NaN
0.8,0.6799895987279067,NaN
0.9,0.6948652258787648,NaN
1.0,0.588866365440896,NaN
1.1,0.24293807052115815,NaN
1.2,-0.3909536571078714,NaN
1.3,-1.0874188005609726,NaN
1.4,-1.1228063593028352,NaN
1.5,-1.0842700713890412,NaN
1.6,-1.0677741040108075,NaN
1.7,-1.0431753957974101,NaN
1.8,-1.0002305185361107,NaN
1.9,-1.0132664751160727,NaN
2.0,-1.029822757343434,NaN
