time,x1,x2
0.0,-0.5,-0.6
0.1,-0.26792446654189905,NaN
0.2,0.1478612047122425,NaN
0.3,0.8487697249972747,NaN
0.4,1.0074409356110476,NaN
0.5,0.9278542759201275,NaN
0.6,0.7470554962208862,NaN
0.7,0.5826661062850106,NaN
0.8,0.33755955916065167,NaN
0.9,-0.12483838631611345,NaN
1.0,-0.9732965531744779,NaN
1.1,-1.1659482376925578,NaN
1.2,-1.1400880240476827,NaN
1.3,-1.0999463230728406,NaN
1.4,-1.0445226603058924,NaN
1.5,-1.0203739120117497,NaN
1.6,-1.0387779594621076,NaN
1.7,-1.0155183940013124,NaN
1.8,-0.9467668662649913,NaN
1.9,-0.8771925011390783,NaN
2.0,-0.8173625447406915,NaN
