time,x1,x2
0.0,-1.2039728043259361,0.0
0.25,-1.1959526181713827,0.005021840652643427
0.5,-1.2019438374287756,-0.025324712326049565
0.75,-1.211446692447102,0.01482886100023184
1.0,-1.1987307095293582,-0.010542812231231848
1.25,-1.195092108762163,-0.062308481333134234
1.5,-1.2036387821847583,-0.046580674213607384
1.75,-1.1845366567316336,-0.04656110628905455
2.0,-1.1740282450339916,-0.0013478652454005171
2.25,-1.1811040055197009,-0.0329248942010909
2.5,-1.1923394604871496,-0.04039631895603328
2.75,-1.2117052603194243,-0.12854689196040428
3.0,-1.224387636794517,-0.09879264874565483
3.25,-1.2246840371779006,-0.10888208324181775
3.5,-1.2225852221865978,-0.13281108670604502
3.75,-1.2181396542529672,-0.03858035566723045
4.0,-1.2254121869676748,-0.04611535164578118
4.25,-1.2282213449945436,-0.09391429689156522
4.5,-1.2434426073269775,-0.06256464728289649
4.75,-1.2501315783766183,-0.12275809185335022
5.0,-1.2435199484881754,-0.06663338930055035
5.25,-1.2489505078658285,-0.12240492703192503
5.5,-1.2613343166561153,-0.17245969293458102
5.75,-1.2669928340000254,-0.1603899726706647
6.0,-1.2498844496758341,-0.12585065572907314
6.25,-1.2543106071158392,-0.20704344089290264
6.5,-1.2530630966008784,-0.2171078344428216
6.75,-1.2444182112226805,-0.15708556824181627
7.0,-1.2544939266616393,-0.1807079170167574
7.25,-1.2485802128416634,-0.10763415584619777
7.5,-1.2341101080457593,-0.18743133186667343
7.75,-1.237476219189715,-0.19684341196313673
8.0,-1.2292654527818936,-0.12475562686253633
8.25,-1.2321810453990887,-0.155025403616295
8.5,-1.2197346183967404,-0.11840971746392538
8.75,-1.2127888059381788,-0.17929334458935284
9.0,-1.200588423076851,-0.18565376616883306
9.25,-1.202015328408267,-0.2547814268235353
9.5,-1.2086808815578889,-0.19993185253735005
9.75,-1.2117553175330948,-0.17954180754480714
10.0,-1.1948020531183479,-0.04955794117026045
10.25,-1.1932579644653238,-0.1221906604034948
10.5,-1.2083188336897057,-0.08507682695580146
10.75,-1.1935799373457094,-0.12030594647698489
11.0,-1.209216600725731,-0.19356258400759283
11.25,-1.2119720774998568,-0.20375270907460188
11.5,-1.2041939356070361,-0.15123878502239557
11.75,-1.1968664890179554,-0.11948407330129278
12.0,-1.1918034056796518,-0.06873720910758908
12.25,-1.1811931008397205,-0.022805489622460914
12.5,-1.196139038315976,-0.07527157381732599
12.75,-1.1746956919660305,-0.1023893898076802
13.0,-1.1772799654438715,-0.10863648959631504
13.25,-1.17833396810942,-0.17346891538014014
13.5,-1.1827881382407848,-0.20626281650825343
13.75,-1.1962988488491046,-0.13100430713870212
14.0,-1.2057709901557443,-0.05412496009912277
14.25,-1.203376177395485,-0.0734863753068666
14.5,-1.1831561940706181,-0.02750656892524024
14.75,-1.1742472330861284,-0.03917062790457574
15.0,-1.1551062865280308,0.03941360711845559
15.25,-1.158517222105621,0.061911283386114235
15.5,-1.1583931000250458,0.11469277063507981
15.75,-1.1486303731171532,0.12563526885022405
16.0,-1.1482800132462558,0.1656579773907407
16.25,-1.154626280274524,0.13836725529713934
16.5,-1.1615255564627311,0.14953772099432996
16.75,-1.1603510550271614,0.14785788552238152
17.0,-1.1418024731453176,0.15013931771085057
17.25,-1.1378655300162017,0.1879781624595392
17.5,-1.1301581958092322,0.2005870351431064
17.75,-1.1235378581186461,0.150883754213088
18.0,-1.1086841699130712,0.07823155473612994
18.25,-1.111786791190142,0.16157895919947463
18.5,-1.1049825301249827,0.17418923553427806
18.75,-1.1094538755839813,0.14367333986472583
19.0,-1.1108031967342569,0.13856822962547294
19.25,-1.1091913036306638,0.11739505853385179
19.5,-1.0843201351233656,0.13317658914690186
19.75,-1.0861999868497445,0.11484288511229875
20.0,-1.0821818237761267,0.14010270873604663
20.25,-1.0868477386018842,0.0882181633154111
20.5,-1.079357556077563,0.10689027361121327
20.75,-1.0766926710037952,0.03421672791561803
21.0,-1.0844158613105066,0.045430045019570944
21.25,-1.0930422988469162,0.06929647093552792
21.5,-1.0770741364582652,0.05594641036449358
21.75,-1.0859414052288658,-0.032933969183079004
22.0,-1.0821084121496105,-0.07297828500463488
22.25,-1.0761219363828798,-0.027579505989213302
22.5,-1.0710632280277679,0.07878347729365859
22.75,-1.0645984486870486,0.12561583663556466
23.0,-1.0657034342356926,0.15549336302037575
23.25,-1.0633735792882166,0.18252093698885707
23.5,-1.0539109714042045,0.10338108882583631
23.75,-1.0442210973851804,0.11364527126292352
24.0,-1.0152899345849458,0.18944953220112665
24.25,-1.016387973460888,0.14366890460685214
24.5,-1.0092372998767931,0.1828710833692722
24.75,-0.9933037024290604,0.2828754779891955
25.0,-0.9766953174827543,0.20886601145160477
